"","","","I have a reserved and cautious attitude toward life.","I have trouble controlling my impulses.","I generally seek new and exciting experiences and sensations.","I generally like to see things through to the end.","When I am very happy, I can't seem to stop myself from doing things that can have bad consequences.","My thinking is usually careful and purposeful.","I have trouble resisting my cravings (for food, cigarettes, etc.).","I'll try anything once.","I tend to give up easily.","When I am in a great mood, I tend to get into situations that could cause me problems.","I am not one of those people who blurt out things without thinking.","I often get involved in things I later wish I could get out of.","I like sports and games in which you have to choose your next move very quickly.","Unfinished tasks really bother me.","When I am very happy, I tend to do things that may cause problems in my life.","I like to stop and think things over before I do them.","When I feel bad, I will often do things I later regret in order to make myself feel better now.","I would enjoy water skiing.","Once I get going on something I hate to stop.","I tend to lose control when I am in a great mood.","I don't like to start a project until I know exactly how to proceed.","Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.","I quite enjoy taking risks.","I concentrate easily.","When I am really ecstatic, I tend to get out of control.","I would enjoy parachute jumping.","I finish what I start.","I tend to value and follow a rational, 'sensible' approach to things.","When I am upset I often act without thinking.","Others would say I make bad choices when I am extremely happy about something.","I welcome new and exciting experiences and sensations, even if they are a little frightening and unconventional.","I am able to pace myself so as to get things done on time.","I usually make up my mind through careful reasoning.","When I feel rejected, I will often say things that I later regret.","Others are shocked or worried about the things I do when I am feeling very excited.","I would like to learn to fly an airplane.","I am a person who always gets the job done.","I am a cautious person.","It is hard for me to resist acting on my feelings.","When I get really happy about something, I tend to do things that can have bad consequences.","I sometimes like doing things that are a bit frightening.","I almost always finish projects that I start.","Before I get into a new situation I like to find out what to expect from it.","I often make matters worse because I act without thinking when I am upset.","When overjoyed, I feel like I can't stop myself from going overboard.","I would enjoy the sensation of skiing very fast down a high mountain slope.","Sometimes there are so many little things to be done that I just ignore them all.","I usually think carefully before doing anything.","Before making up my mind, I consider all the advantages and disadvantages.","When I am really excited, I tend not to think of the consequences of my actions.","In the heat of an argument, I will often say things that I later regret.","I would like to go scuba diving.","I tend to act without thinking when I am really excited.","I always keep my feelings under control.","When I am really happy, I often find myself in situations that I normally wouldn't be comfortable with.","I would enjoy fast driving.","When I am very happy, I feel like it is ok to give in to cravings or overindulge.","Sometimes I do impulsive things that I later regret.","I am surprised at the things I do while in a great mood.","Negative Urgency Score","lack of Premeditation Score","(lack of) Perseverance Score","Sensation Seeking Score","Positive Urgency Score","Total Score"
"A00035926","Adult-Age 18-21","V1","1","4","1","1","4","1","4","2","4","4","1","2","1","1","4","1","1","1","1","4","1","4","3","1","4","1","1","1","4","4","2","1","1","4","4","4","1","1","4","4","4","1","1","1","4","2","4","1","1","1","4","1","4","1","4","1","4","4","4","20","11","10","37","17","95"
"A00051679","Adult- Age 22-59","V1","2","3","3","2","3","2","3","2","3","3","2","3","2","2","3","2","2","2","3","3","2","3","3","2","3","2","2","2","3","3","2","2","2","3","3","3","2","2","2","3","2","2","2","3","3","1","3","2","1","2","3","2","3","2","3","2","3","3","3","26","21","21","34","29","131"
"A00035840","Adult- Age 22-59","V1","4","4","1","1","4","1","4","2","4","4","1","3","3","1","4","1","4","3","2","4","3","4","2","1","4","4","1","1","4","4","1","1","1","4","4","2","1","1","4","4","2","1","2","4","4","3","3","1","2","4","2","1","4","1","4","4","4","3","4","16","18","12","32","14","92"
"A00065749","ONE_DAY-Age 60-64","VA","2","3","3","1","3","2","2","2","3","2","3","3","1","2","3","2","3","1","1","2","1","2","2","3","2","4","2","2","2","3","2","1","2","3","2","4","2","2","2","2","2","1","2","2","2","1","3","2","2","3","3","3","2","3","3","1","2","2","2","31","22","17","34","37","141"
"A00060431","Older Adult- Age 65-85","V1","4","4","3","1","4","4","4","2","4","3","3","3","2","1","3","2","3","2","1","2","2","4","4","1","4","4","1","1","4","4","2","2","2","4","4","4","1","2","3","3","4","1","1","4","4","4","4","2","3","4","2","2","3","2","2","2","2","3","2","19","26","11","25","26","107"
"A00050911","Older Adult- Age 65-85","V1","1","2","2","1","3","2","2","2","2","3","3","3","2","2","3","2","3","4","2","3","2","3","2","2","3","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","3","2","2","2","3","2","2","3","3","2","2","3","2","31","22","20","33","35","141"
"A00010893","Adult- Age 22-59","V1","2","3","1","1","3","1","3","2","3","3","2","4","1","3","3","1","3","2","1","2","2","4","1","1","3","3","1","1","3","3","1","1","1","3","1","1","1","1","3","3","2","1","1","3","4","1","4","1","1","3","3","1","3","3","4","1","4","4","1","22","14","13","43","30","122"
"A00034854","Adult-Age 18-21","V1","3","3","2","2","4","1","3","1","3","4","1","4","4","2","4","1","4","3","3","4","2","4","2","2","4","2","2","2","4","4","2","1","1","4","4","3","1","3","3","4","2","2","1","4","4","3","4","1","1","3","4","3","4","1","4","3","3","4","3","15","17","18","30","17","97"
"A00040567","Older Adult- Age 65-85","V1","4","4","2","1","4","2","2","4","3","4","3","2","4","2","4","2","4","1","2","4","2","4","3","3","4","4","1","1","2","4","2","1","2","3","4","4","1","2","3","4","4","1","1","3","4","4","3","2","2","4","3","2","3","3","3","4","3","4","3","24","23","16","22","18","103"
"A00054895","Adult- Age 22-59","V1","3","4","2","1","4","1","4","4","4","4","1","4","4","2","4","1","4","4","2","4","3","4","4","2","4","4","1","1","4","4","2","1","1","4","4","4","1","1","4","4","4","1","1","4","4","4","3","2","2","4","4","3","4","2","4","4","2","4","4","13","17","14","17","16","77"
"A00037589","Older Adult- Age 65-85","V1","2","4","1","1","4","2","2","4","3","4","3","2","3","2","4","2","4","4","2","3","1","3","3","3","3","4","2","1","3","3","2","3","2","3","4","4","3","2","2","3","3","2","1","3","3","4","2","2","2","4","3","4","3","3","4","4","4","3","3","26","20","23","20","21","110"
"A00055160","ENROLLED","V1","2","4","2","1","4","2","3","2","2","4","4","3","2","2","4","2","4","2","2","4","2","3","3","2","4","3","2","2","4","4","2","2","2","2","4","2","1","2","3","4","2","2","2","4","4","3","3","1","1","4","2","2","3","2","4","1","3","3","3","22","22","19","34","17","114"
"A00064415","ONE_DAY- Age 22-59","VA","2","3","3","2","4","1","4","4","4","4","1","4","2","2","4","1","4","2","2","4","1","4","2","2","4","3","2","1","4","4","3","2","1","4","4","1","2","1","3","4","3","1","1","4","4","2","4","1","2","4","4","2","4","1","4","1","4","4","4","14","13","17","32","14","90"
"A00057035","ENROLLED","V1","3","3","2","2","2","2","2","2","3","3","1","3","2","2","3","1","3","2","2","3","3","4","3","3","3","2","2","1","3","3","2","3","2","3","3","1","2","2","3","3","2","2","2","4","3","1","3","2","2","3","4","3","3","1","3","2","2","3","3","21","21","22","36","30","130"
"A00030990","Older Adult- Age 65-85","V1","2","3","2","1","1","1","3","3","2","2","1","2","3","1","1","1","2","1","1","2","1","2","2","2","3","3","1","2","2","2","1","2","1","2","2","4","1","1","2","2","3","1","1","2","2","4","2","2","2","2","1","4","2","2","2","4","2","2","3","34","15","16","26","42","133"
"A00064053","ONE_DAY- Age 22-59","VA","2","4","2","2","4","2","3","3","4","4","4","4","3","3","4","1","4","2","1","4","2","3","2","2","4","4","1","1","4","4","2","2","1","4","4","2","1","2","3","4","2","2","1","4","4","4","2","1","1","3","4","2","2","1","4","3","3","4","3","15","18","18","29","19","99"
"A00039560","Adult- Age 22-59","V1","2","4","2","1","4","2","3","4","3","4","1","2","3","1","4","1","2","4","2","4","2","3","3","2","3","4","2","2","2","4","2","2","2","3","4","3","1","2","3","4","4","2","1","3","4","4","3","2","1","3","2","2","4","2","4","2","3","3","3","27","18","17","23","18","103"
"A00054173","Adult-Age 18-21","V1","3","2","2","2","4","3","1","3","3","4","1","2","2","3","4","2","2","2","1","4","3","1","4","3","4","3","2","3","2","4","4","3","2","3","4","2","2","2","2","4","4","3","2","3","4","2","1","2","3","4","3","2","4","2","4","2","4","4","4","32","26","25","28","14","125"
"A00052181","ENROLLED","V1","2","4","2","1","4","1","4","2","4","4","3","2","2","2","4","1","4","1","2","4","2","4","2","2","4","2","2","1","3","4","2","2","1","2","4","3","2","2","3","4","3","2","1","4","4","4","3","2","2","3","3","1","4","2","4","4","4","4","4","20","18","18","32","15","103"
"A00040599","Older Adult- Age 60-64","V1","1","4","4","1","4","1","3","3","4","4","3","3","3","1","4","1","4","4","3","4","1","4","3","2","4","4","2","2","2","4","3","2","2","2","4","4","3","1","3","4","4","3","1","2","4","4","3","1","1","4","2","4","4","2","4","4","3","4","4","24","15","20","16","15","90"
"A00028691","Adult- Age 22-59","V1","3","2","2","1","3","2","2","3","4","2","3","3","3","1","3","2","2","3","2","3","1","2","3","1","3","4","1","2","3","3","3","1","2","2","3","4","1","2","2","3","4","1","2","3","3","3","4","2","2","3","3","4","3","3","3","3","3","2","3","32","23","11","21","29","116"
"A00023510","Adult- Age 22-59","V1","2","3","2","2","3","2","2","2","3","3","2","3","2","2","3","2","3","2","2","3","2","3","2","2","3","2","2","2","3","3","2","2","2","3","3","2","2","2","3","3","2","2","2","3","3","2","3","2","2","3","3","2","3","2","3","3","3","3","3","25","22","20","35","28","130"
"A00033589","Adult- Age 22-59","V1","2","4","2","1","4","1","3","2","4","4","1","2","3","1","4","2","4","4","1","4","2","4","3","1","4","4","1","1","4","4","2","1","1","4","4","4","1","1","4","4","4","1","2","4","4","4","4","1","1","4","4","4","4","2","4","4","3","4","4","16","15","10","20","15","76"
"A00031893","Adult- Age 22-59","V1","4","4","1","1","4","1","4","2","4","4","4","4","4","2","4","1","4","2","2","4","4","4","2","2","4","2","1","1","4","4","1","1","1","4","4","4","1","2","3","4","2","1","3","4","4","4","4","2","2","4","4","2","4","1","4","3","4","4","4","13","25","13","31","14","96"
"A00059018","ONE_DAY","V1","1","4","1","1","4","1","4","1","4","4","2","4","4","1","4","1","4","2","1","3","1","2","2","2","2","1","1","1","2","4","2","2","1","1","3","1","1","1","1","4","2","1","1","2","3","2","4","1","1","4","1","2","4","3","3","1","3","1","3","32","12","12","39","22","117"
"A00028150","Adult- Age 22-59","V1","4","3","2","2","2","2","3","2","2","3","2","2","1","1","2","2","3","1","3","3","3","2","2","2","2","4","2","2","2","3","3","2","2","3","3","4","2","2","3","3","3","2","2","2","3","2","2","2","2","3","2","2","3","3","3","3","3","2","3","31","25","22","31","31","140"
"A00062411","ONE_DAY- Age 22-59","VA","1","4","2","2","3","2","3","2","3","3","2","2","3","2","3","1","3","2","2","3","2","2","3","2","3","1","1","1","2","2","2","3","2","2","2","3","2","2","3","2","3","2","3","1","2","2","2","3","1","1","3","1","1","3","1","2","3","1","2","32","20","21","34","39","146"
"A00054504","ENROLLED","V1","2","4","3","1","4","1","4","4","4","4","1","4","2","1","4","1","4","2","2","4","2","4","3","1","4","3","1","1","4","4","3","1","1","4","4","4","1","1","4","4","4","1","1","4","4","2","4","1","1","4","4","2","4","1","4","4","4","4","4","12","13","11","24","14","74"
"A00037646","Adult- Age 22-59","V1","4","4","1","1","4","1","4","2","4","4","1","4","2","2","4","1","4","2","1","4","3","3","1","2","2","1","1","2","2","4","1","1","1","3","4","2","1","2","3","4","2","1","2","1","3","2","4","2","2","4","3","1","4","2","4","1","2","3","4","23","21","12","42","19","117"
"A00034987","Adult- Age 22-59","V1","2","3","2","2","4","2","3","2","3","3","3","3","4","3","3","2","3","4","3","3","2","2","2","2","3","4","2","2","3","3","2","3","2","3","3","4","2","2","2","3","3","2","2","3","3","4","3","2","2","3","2","4","3","2","3","3","2","3","3","27","23","23","22","28","123"
"A00038642","ONE_DAY","VA-REP","3","2","1","2","3","2","2","3","3","4","2","3","1","3","4","2","2","1","2","3","2","3","1","3","2","1","2","2","2","4","2","3","2","2","3","3","3","3","2","4","1","2","2","2","3","1","3","3","2","2","2","1","3","3","4","2","2","2","3","34","25","24","42","26","151"
"A00035608","Adult- Age 22-59","V1","1","4","2","2","4","1","4","2","3","4","2","2","2","3","4","2","4","1","2","4","1","4","4","3","4","1","2","1","4","4","3","3","1","4","4","2","2","1","2","4","4","2","2","4","4","1","1","2","1","4","4","1","4","1","4","2","4","3","4","17","15","25","35","14","106"
"A00029215","Adult- Age 22-59","V1","3","4","2","1","4","1","4","2","4","4","2","2","2","2","4","2","4","4","3","4","3","4","2","2","4","4","1","2","2","4","2","2","2","3","4","4","2","3","3","4","3","2","2","2","4","4","4","2","1","4","2","4","4","3","4","4","3","3","3","25","23","17","23","16","104"
"A00037848","ENROLLED","V1REP","3","4","2","1","4","1","4","1","4","4","1","4","4","2","4","1","4","1","2","4","2","4","4","1","4","3","1","2","4","4","2","1","1","4","4","2","1","2","4","4","3","1","1","4","4","2","4","1","1","4","4","2","4","4","4","1","4","4","4","15","16","12","33","14","90"
"A00066302","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00044408","Older Adult- Age 65-85","V1","2","3","2","2","3","2","2","2","3","3","3","2","3","2","3","2","3","4","2","3","2","3","3","2","3","4","2","2","2","4","2","2","2","3","3","4","2","2","3","4","3","2","2","3","3","4","3","2","3","2","2","4","2","3","3","4","3","2","2","30","24","20","21","29","124"
"A00039856","Older Adult- Age 65-85","V1","2","2","2","2","4","1","2","4","3","4","1","2","3","2","3","1","2","3","2","3","2","3","3","2","4","4","2","1","3","4","3","1","2","3","4","4","2","1","3","4","4","1","2","3","4","4","2","2","2","4","3","4","3","2","3","4","4","3","3","28","17","19","18","19","101"
"A00039500","Adult- Age 22-59","V1","2","3","4","1","4","1","1","2","3","4","4","4","4","2","4","1","4","2","2","4","2","4","4","2","4","4","1","1","4","4","4","2","1","3","4","4","1","1","4","4","4","2","1","4","4","4","4","1","2","4","4","4","4","2","4","4","4","4","4","18","17","16","16","14","81"
"A00034827","Adult- Age 22-59","V1","4","2","2","3","3","2","4","1","2","3","1","3","1","3","3","2","3","2","2","4","4","3","2","1","4","4","3","3","2","3","2","4","2","2","3","2","2","3","1","3","2","3","3","2","3","2","3","2","1","3","4","2","4","2","3","1","2","3","3","28","27","26","37","26","144"
"A00031625","Adult- Age 22-59","V1","3","4","2","2","4","1","2","2","3","4","1","4","4","3","4","1","4","2","4","4","2","4","3","3","4","4","3","2","4","4","2","2","2","3","4","4","2","2","3","4","3","3","1","4","4","4","3","2","1","4","4","1","4","1","4","1","1","4","2","16","18","26","28","19","107"
"A00035054","Older Adult- Age 65-85","V1","2","3","2","2","4","2","3","4","2","4","1","4","3","2","4","1","4","2","3","4","3","4","3","2","3","3","2","1","4","4","2","2","1","4","4","2","1","1","2","4","3","2","2","4","4","3","4","2","2","4","4","3","4","2","4","3","3","3","3","18","18","20","27","17","100"
"A00059845","Adult- Age 22-59","V1","2","4","2","1","4","1","3","4","4","4","1","3","2","1","4","1","4","3","2","4","3","4","2","2","4","4","1","1","4","4","2","2","2","4","4","2","1","2","4","4","2","1","2","4","4","1","3","2","2","4","4","4","4","2","4","3","4","4","4","15","19","14","29","14","91"
"A00060005","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00030989","Adult- Age 22-59","V1","2","3","2","2","4","2","3","2","2","4","3","3","3","2","4","2","4","2","2","4","2","2","2","3","4","1","3","2","2","4","1","2","2","2","4","1","1","2","2","4","1","2","2","4","4","4","3","2","1","4","2","1","4","2","3","2","3","3","3","27","22","22","38","17","126"
"A00059361","ENROLLED","VA_ALG","2","3","2","1","4","1","3","2","4","4","1","3","1","1","4","2","4","1","2","4","2","4","2","1","4","1","1","1","4","4","1","2","1","3","4","2","1","2","3","4","1","1","1","4","4","1","3","1","1","4","2","1","4","2","4","2","4","4","4","20","15","13","43","14","105"
"A00057808","ENROLLED","V1","2","4","2","1","4","1","3","1","3","4","1","4","3","1","4","1","4","4","1","4","3","4","4","2","4","4","1","1","4","4","2","2","2","4","4","4","1","1","4","4","4","1","2","4","4","4","4","1","2","4","4","4","4","1","4","4","4","4","4","13","17","13","20","14","77"
"A00061656","ONE_DAY-Age 65-85","VA","2","3","4","2","4","1","4","3","4","4","1","4","4","2","4","2","4","3","3","4","1","4","2","3","4","4","2","1","4","4","3","2","2","4","4","4","3","2","4","4","4","2","1","4","4","3","2","2","2","4","4","2","4","2","4","3","4","3","4","15","17","23","21","14","90"
"A00043417","Adult- Age 22-59","V1","3","4","2","1","4","2","2","3","3","4","2","3","2","1","4","3","3","4","2","4","2","3","3","2","4","4","1","2","3","4","3","2","2","3","4","4","1","2","3","4","4","1","2","4","4","4","3","3","3","4","2","4","4","2","4","4","4","3","3","24","26","15","19","15","99"
"A00039074","Adult- Age 22-59","V1","2","3","2","2","4","1","3","3","2","4","2","2","1","2","4","2","3","2","2","4","2","3","2","3","4","4","2","1","2","3","2","2","3","2","3","4","2","2","2","4","2","2","2","3","4","3","2","2","2","4","2","4","4","2","4","2","3","3","2","29","21","23","29","19","121"
"A00037378","Adult- Age 22-59","V1","1","3","1","1","4","2","3","3","4","3","2","3","3","2","4","2","3","3","1","2","1","3","1","3","3","4","2","2","2","3","3","2","2","4","3","4","2","2","3","3","2","2","1","4","4","3","3","2","1","1","4","4","4","3","3","4","4","4","4","22","18","18","25","25","108"
"A00052117","Adult- Age 22-59","V1","1","2","2","1","4","1","4","2","2","4","2","2","3","1","4","1","4","3","1","4","2","2","4","4","4","4","1","2","2","4","4","2","2","2","4","4","2","2","2","4","4","1","1","2","4","4","2","2","2","4","2","2","2","3","4","4","4","2","4","32","18","19","20","16","105"
"A00029092","Adult-Age 18-21","V1","2","4","2","2","3","2","2","3","3","3","2","3","3","2","3","2","3","2","2","3","2","3","3","2","3","3","2","2","3","3","2","2","2","3","3","2","2","2","3","3","3","2","2","3","3","4","3","2","2","3","3","2","3","2","3","2","2","3","3","24","22","20","29","29","124"
"A00035440","Older Adult- Age 60-64","V1","3","3","3","2","4","2","3","2","3","3","2","3","3","3","3","2","3","4","3","4","3","3","3","2","3","3","2","2","3","4","2","2","2","3","3","2","2","2","3","3","3","2","2","3","3","3","3","2","2","3","3","2","3","2","3","2","2","3","3","24","24","22","28","26","124"
"A00040944","Adult- Age 22-59","V1","4","4","1","1","4","1","1","4","4","4","1","4","1","1","4","1","4","4","1","4","1","4","3","2","4","4","1","1","4","4","2","1","1","4","4","2","1","1","2","4","4","1","1","4","4","4","4","1","1","4","4","4","4","1","4","1","1","4","4","17","14","11","26","17","85"
"A00043325","Adult- Age 22-59","V1","3","4","2","2","3","2","2","1","3","2","1","3","3","3","4","2","2","2","2","3","2","2","2","2","3","1","2","2","3","3","2","3","2","2","3","1","2","2","3","3","2","2","1","3","3","2","3","2","2","3","2","2","3","1","3","1","2","2","3","28","21","22","39","29","139"
"A00066245","ENROLLED","VA_ALG","2","3","2","1","4","2","3","2","3","4","2","3","2","1","4","1","3","2","1","3","2","3","2","3","2","2","1","1","3","3","2","1","1","3","3","1","1","1","3","3","2","1","1","3","2","2","3","2","1","3","2","2","3","2","3","2","2","3","2","25","16","14","37","29","121"
"A00054621","Older Adult- Age 65-85","V1","1","3","3","1","4","2","2","3","2","4","2","2","4","2","4","2","4","3","2","4","2","4","4","3","4","4","2","1","2","4","3","2","3","3","4","4","2","1","3","4","4","2","1","3","3","4","3","2","1","4","2","2","4","1","2","4","2","2","4","26","18","21","18","19","102"
"A00051603","Adult-Age 18-21","V1","4","4","2","1","3","1","4","1","3","3","1","2","1","2","3","1","4","1","1","3","2","4","2","1","3","1","2","1","4","4","1","2","1","3","3","2","2","3","2","3","1","2","2","4","4","1","3","1","1","2","3","1","3","1","4","1","2","2","2","20","18","17","45","28","128"
"A00062255","ONE_DAY- Age 22-59","VA","3","4","4","2","3","2","4","2","3","4","1","4","2","2","4","2","3","4","2","4","1","4","2","2","3","2","1","2","2","4","2","2","2","3","4","4","2","2","2","4","4","2","2","2","4","4","4","2","2","4","1","1","3","4","4","2","2","3","3","27","21","18","27","20","113"
"A00037877","Adult-Age 18-21","V1","2","4","1","1","4","2","1","2","3","4","3","3","3","2","4","3","4","2","2","3","2","3","3","3","3","1","2","2","3","4","1","2","2","3","4","2","2","2","3","4","1","2","2","4","4","1","3","2","2","4","3","1","4","1","3","1","3","2","3","23","24","20","41","19","127"
"A00050998","Adult- Age 22-59","V1","3","2","2","1","4","2","2","2","2","4","3","1","4","3","4","2","2","4","2","4","1","2","2","3","4","2","1","3","1","4","2","3","3","1","4","3","2","3","1","4","2","1","1","1","4","4","2","3","3","2","1","2","1","4","4","1","1","1","1","44","27","22","30","25","148"
"A00061962","ONE_DAY- Age 22-59","VA","3","4","3","1","4","1","2","3","4","4","1","3","3","1","4","1","2","4","2","4","2","4","4","3","4","4","1","1","3","4","4","1","1","2","4","3","1","1","4","4","4","1","1","2","3","4","3","1","1","4","2","4","3","2","4","4","4","3","4","26","14","14","16","16","86"
"A00037582","Adult- Age 22-59","V1","2","4","1","1","4","1","4","2","4","4","1","3","3","1","4","1","4","1","1","4","2","4","1","2","3","1","1","1","4","4","4","1","1","4","4","1","1","2","2","4","2","1","1","4","4","2","3","1","1","4","4","1","4","1","4","1","4","4","3","15","14","12","40","16","97"
"A00039640","Older Adult- Age 65-85","V1","2","3","2","1","4","2","1","2","4","4","3","3","4","3","4","2","4","3","2","4","3","2","4","2","4","4","1","2","3","4","2","1","2","3","4","4","1","3","3","4","2","1","2","3","4","4","4","2","2","4","3","2","4","3","4","2","4","3","3","27","25","14","25","15","106"
"A00035535","Adult- Age 22-59","V1","3","4","3","1","4","2","2","3","4","4","1","2","4","2","4","1","4","3","3","4","2","3","4","2","4","4","1","1","3","4","4","2","2","4","4","4","2","2","3","4","4","1","1","4","4","3","3","2","2","4","3","2","4","2","4","4","3","3","4","22","19","17","18","15","91"
"A00059344","ENROLLED","VA_ALG","3","3","2","2","4","2","3","2","3","4","2","4","1","1","4","2","4","1","2","4","2","4","2","2","4","3","2","2","3","3","2","2","2","3","4","1","1","3","4","4","2","1","2","4","4","1","4","2","2","3","3","1","3","2","4","1","4","4","4","18","24","16","41","17","116"
"A00065790","ONE_DAY- Age 22-59","VA","2","3","1","1","4","1","2","1","2","4","2","3","3","1","4","1","3","3","2","4","2","3","2","2","4","2","1","1","3","4","2","2","1","2","4","3","1","2","2","3","3","1","1","4","4","4","3","2","2","4","3","3","3","2","3","2","2","3","3","26","17","16","31","20","110"
"A00037476","Adult-Age 18-21","V1","2","4","2","2","4","2","2","3","4","3","1","3","2","1","4","2","2","2","2","3","3","3","2","2","4","4","1","1","4","4","2","2","2","3","4","4","1","2","3","4","2","1","3","3","3","2","2","2","3","4","4","2","4","2","4","2","4","4","4","22","23","16","31","17","109"
"A00035363","Adult- Age 22-59","V1","2","3","1","2","4","1","3","2","3","4","2","2","2","1","3","2","3","1","2","3","2","3","3","1","3","4","2","2","3","4","3","2","1","4","4","4","2","2","3","4","4","2","1","4","4","2","3","1","2","2","4","2","3","3","3","2","3","4","3","22","18","18","30","23","111"
"A00040285","Older Adult- Age 65-85","V1","2","3","1","2","4","2","3","3","3","4","2","2","3","2","4","2","3","3","2","3","2","3","3","3","3","4","2","2","3","3","3","2","2","3","4","4","2","2","3","4","4","2","2","4","4","2","2","3","2","3","2","4","4","2","3","2","2","3","3","25","23","22","24","22","116"
"A00043762","Adult- Age 22-59","V1","2","2","3","2","3","3","2","3","3","3","3","3","4","2","3","2","3","3","2","3","2","3","3","2","3","4","2","2","3","4","2","2","2","3","3","3","2","2","3","3","3","3","1","3","3","4","3","2","1","3","3","2","2","3","3","2","2","2","3","28","22","21","24","29","124"
"A00040741","Older Adult- Age 65-85","V1","2","4","4","1","4","2","2","3","3","4","3","3","4","2","4","2","4","4","2","4","3","4","4","2","4","4","2","1","3","4","4","2","2","4","4","4","1","2","4","4","4","1","2","2","4","4","3","2","2","4","2","4","3","2","4","4","2","4","4","21","23","17","13","17","91"
"A00052319","Adult- Age 22-59","V1","2","4","3","2","4","2","4","2","4","4","3","1","2","2","4","2","4","4","2","4","1","4","4","2","4","3","2","1","4","4","3","1","1","4","4","3","2","1","3","4","4","1","2","4","4","1","4","2","2","4","3","1","4","2","4","2","4","4","3","18","19","16","28","15","96"
"A00060632","Adult- Age 22-59","V1","2","3","2","2","3","1","4","2","3","3","1","3","2","3","3","1","3","2","2","3","2","3","3","3","3","4","3","1","3","4","2","2","1","4","4","2","3","2","3","4","2","3","2","3","4","2","3","1","1","3","4","2","3","2","3","1","2","2","3","22","15","25","34","25","121"
"A00060577","Adult-Age 18-21","V1","3","3","2","2","4","2","3","2","3","4","3","2","2","2","4","2","4","2","2","4","2","4","2","2","4","4","2","2","3","4","2","1","2","3","4","4","2","2","3","4","2","2","2","4","4","4","2","2","2","4","2","3","3","2","4","3","4","2","3","24","24","20","28","16","112"
"A00066822","ONE_DAY","VA","2","1","2","1","3","1","3","2","2","3","2","2","2","2","3","2","2","2","2","3","2","2","2","3","2","2","2","1","2","4","2","3","2","2","3","2","1","2","2","3","2","1","2","2","3","3","2","2","2","3","2","1","3","2","3","2","2","2","3","35","20","21","36","29","141"
"A00033022","Older Adult- Age 60-64","V1","2","4","2","1","4","1","2","1","4","4","1","3","3","1","2","1","3","4","1","4","1","3","1","2","3","2","1","1","3","3","3","2","1","3","3","4","1","1","3","3","3","3","1","3","3","3","4","1","2","1","3","3","3","2","3","1","2","3","3","24","13","14","30","29","110"
"A00029231","Adult- Age 22-59","V1","3","4","2","1","4","2","4","2","3","4","2","3","2","2","4","2","4","1","3","4","2","3","2","2","4","2","2","2","3","4","2","2","2","3","3","2","2","2","3","4","2","2","2","3","4","2","4","2","2","4","3","1","4","2","2","1","2","3","4","21","23","19","39","19","121"
"A00033248","Adult-Age 18-21","V1","2","2","4","4","2","2","2","4","4","4","4","4","3","3","2","2","3","4","2","3","2","3","4","1","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","2","2","2","1","2","2","1","1","2","2","2","1","1","2","3","3","1","2","3","33","22","22","27","40","144"
"A00060516","ENROLLED","V1","2","3","1","1","3","1","3","3","4","4","1","3","3","2","4","2","3","2","2","4","2","3","2","2","4","1","1","1","4","4","1","1","1","3","4","1","1","2","3","4","2","1","2","4","3","3","3","2","1","4","4","1","4","1","2","1","3","3","3","20","17","14","39","20","110"
"A00063103","ONE_DAY- Age 22-59","VA","1","3","1","1","3","1","4","1","3","3","3","1","3","1","3","1","3","1","2","3","1","3","3","2","3","4","2","1","2","3","2","3","2","1","4","1","2","1","3","3","3","2","1","2","3","1","3","2","1","3","1","1","3","3","4","3","3","2","3","33","15","19","36","26","129"
"A00053949","Older Adult- Age 60-64","V1","3","3","2","1","4","2","2","1","3","4","1","3","3","1","4","2","2","1","1","4","2","2","2","2","3","4","2","3","2","4","2","3","2","3","4","2","3","2","3","4","2","2","2","3","4","3","1","2","2","4","2","1","2","3","4","2","2","3","3","30","23","21","35","20","129"
"A00056371","Older Adult- Age 65-85","V1","2","4","2","2","1","1","3","3","3","4","1","4","2","2","4","1","4","3","2","4","1","3","4","2","4","2","2","1","4","4","2","1","1","4","4","4","2","2","4","4","4","1","1","4","4","4","4","1","2","4","3","4","4","1","4","4","4","4","4","15","14","17","22","17","85"
"A00051529","Adult- Age 22-59","V1","3","4","2","1","4","1","2","4","4","4","4","4","4","4","4","1","4","2","4","4","1","2","4","2","4","4","2","1","3","4","4","2","2","3","4","4","2","2","4","4","3","2","1","4","4","2","2","1","1","4","3","2","3","2","4","4","3","4","4","20","18","23","21","16","98"
"A00037244","Adult- Age 22-59","V1","1","4","1","1","4","1","4","1","4","4","2","4","2","4","4","2","4","2","2","4","3","4","4","1","4","4","2","3","3","4","4","2","2","3","3","3","2","2","3","4","4","2","2","3","3","4","4","2","2","4","2","3","3","2","3","3","3","3","2","20","22","18","25","21","106"
